random_state,baseline_macro_f1,optimized_macro_f1,delta_macro_f1,baseline_acc,optimized_acc,test_rois,train_files,test_files,fixed_by_optimized,regressed_by_optimized
47,0.9918053454320734,0.9912371299871301,-0.000568215444943343,0.9933554817275747,0.9933554817275747,301,555,186,2,2
67,0.9824393884069583,0.9816715537340658,-0.0007678346728925423,0.9866220735785953,0.9866220735785953,299,555,186,1,1
113,0.9869850277202823,0.9861444271763994,-0.0008406005438829078,0.9901639344262295,0.9901639344262295,305,555,186,1,1
93,0.9834528216881158,0.9825480499044621,-0.0009047717836536684,0.984472049689441,0.984472049689441,322,555,186,2,2
37,0.9881324688532926,0.9871558183352869,-0.0009766505180057727,0.9900662251655629,0.9900662251655629,302,555,186,1,1
178,0.9756575469546831,0.974455798978092,-0.0012017479765911165,0.9802631578947368,0.9802631578947368,304,555,186,1,1
164,0.9784028078956661,0.9770179045286209,-0.0013849033670452204,0.9833887043189369,0.9833887043189369,301,555,186,3,3
55,0.9908682934998725,0.9894362966598925,-0.0014319968399799654,0.9935064935064936,0.9902597402597403,308,555,186,0,1
69,0.9800916973364107,0.978564542392598,-0.0015271549438126142,0.984375,0.98125,320,555,186,2,3
63,0.9846158524546237,0.9829746556405724,-0.0016411968140512823,0.9868852459016394,0.9868852459016394,305,555,186,2,2
101,0.9716459139205529,0.9699838028900791,-0.0016621110304737563,0.9779874213836478,0.9779874213836478,318,555,186,1,1
106,0.9804278319462514,0.9786210576294772,-0.001806774316774229,0.987012987012987,0.987012987012987,308,555,186,1,1
159,0.982533985017523,0.9805931463494488,-0.0019408386680741518,0.9841269841269841,0.9841269841269841,315,555,186,1,1
145,0.9604195085400296,0.9584441857887153,-0.00197532275131429,0.97,0.9666666666666667,300,555,186,2,3
59,0.9829818618881119,0.980944055944056,-0.0020378059440558927,0.9867109634551495,0.9867109634551495,301,555,186,2,2
160,0.9747754662840746,0.9724589134113307,-0.0023165528727439044,0.9796610169491525,0.9796610169491525,295,555,186,2,2
36,0.986454704749081,0.9840153481421557,-0.0024393566069252914,0.9903846153846154,0.9871794871794872,312,555,186,1,2
16,0.9917378917378917,0.9892893314906377,-0.002448560247254039,0.9933333333333333,0.99,300,555,186,2,3
64,0.990245226941145,0.987524850246001,-0.0027203766951440222,0.9901315789473685,0.9868421052631579,304,555,186,0,1
70,0.9916526032183091,0.9889157155399473,-0.002736887678361777,0.9933110367892977,0.9933110367892977,299,555,186,1,1
200,0.9864242424242424,0.9835652252626423,-0.002859017161600086,0.990228013029316,0.9869706840390879,307,555,186,0,1
179,0.9837496606027696,0.9808654828206909,-0.002884177782078723,0.9863945578231292,0.9829931972789115,294,555,186,1,2
149,0.9847955865272939,0.9818660394265233,-0.0029295471007706464,0.9893238434163701,0.9857651245551602,281,555,186,0,1
153,0.9864108565328078,0.9834590860355348,-0.0029517704972730208,0.9866666666666667,0.9866666666666667,300,555,186,2,2
176,0.9699948032589036,0.9670063519627108,-0.002988451296192851,0.9773462783171522,0.9741100323624595,309,555,186,1,2
7,0.9793790484699576,0.9763415589502547,-0.0030374895197029517,0.9867549668874173,0.9834437086092715,302,555,186,1,2
40,0.9832449160035367,0.9801700793283691,-0.0030748366751676137,0.9831081081081081,0.9831081081081081,296,555,186,1,1
134,0.9750455577439457,0.9715606140332249,-0.0034849437107208336,0.9838709677419355,0.9806451612903225,310,555,186,1,2
13,0.9784519368723099,0.9747754662840746,-0.003676470588235281,0.9832214765100671,0.9798657718120806,298,555,186,2,3
138,0.9706109781771978,0.9669053227969637,-0.003705655380234041,0.9796610169491525,0.976271186440678,295,555,186,2,3
110,0.979426815222438,0.9756018422208352,-0.0038249730016027828,0.9832214765100671,0.9798657718120806,298,555,186,1,2
85,0.9836581215019355,0.979820631212777,-0.003837490289158585,0.9836065573770492,0.980327868852459,305,555,186,3,4
173,0.9756735388919296,0.9717052849236757,-0.003968253968253954,0.9829931972789115,0.9795918367346939,294,555,186,1,2
117,0.9879918981481481,0.9838325514386472,-0.004159346709500911,0.9894366197183099,0.9859154929577465,284,555,186,0,1
68,0.9757418995967182,0.97156742009524,-0.004174479501478201,0.9813664596273292,0.9751552795031055,322,555,186,0,2
0,0.9699912252066525,0.9656169351940647,-0.004374290012587823,0.973421926910299,0.9700996677740864,301,555,186,1,2
72,0.9838466925423448,0.9793740665359975,-0.004472626006347347,0.9875389408099688,0.9813084112149533,321,555,186,1,3
192,0.9761088011088012,0.9716131801456034,-0.004495620963197777,0.9831649831649831,0.9831649831649831,297,555,186,2,2
3,0.9832423483395182,0.9786815523657629,-0.0045607959737552495,0.9839743589743589,0.9807692307692307,312,555,186,2,3
112,0.9870696254210186,0.9824022905851565,-0.004667334835862125,0.9898305084745763,0.9864406779661017,295,555,186,0,1
167,0.9928451412128053,0.9881676719993006,-0.004677469213504759,0.9936305732484076,0.9904458598726115,314,555,186,0,1
197,0.9783914919683769,0.9736175504684632,-0.004773941499913725,0.9809523809523809,0.9777777777777777,315,555,186,2,3
24,0.9842138559400659,0.9794266191325015,-0.004787236807564432,0.9870967741935484,0.9838709677419355,310,555,186,0,1
170,0.9783046092055998,0.9734905119133511,-0.004814097292248687,0.9829931972789115,0.9795918367346939,294,555,186,1,2
15,0.9899132730015083,0.9849507735583685,-0.004962499443139867,0.9933993399339934,0.9900990099009901,303,555,186,0,1
99,0.9728112789610286,0.967837674814419,-0.004973604146609634,0.9801324503311258,0.9768211920529801,302,555,186,1,2
17,0.9711423043181646,0.9661054663686243,-0.0050368379495403515,0.9742765273311897,0.9710610932475884,311,555,186,1,2
114,0.9974742372196402,0.9923685698134539,-0.005105667406186343,0.9968354430379747,0.990506329113924,316,555,186,0,2
124,1.0,0.9948545626378242,-0.005145437362175764,1.0,0.9967741935483871,310,555,186,0,1
14,0.986893917846771,0.9817432587717186,-0.005150659075052411,0.9899328859060402,0.9865771812080537,298,555,186,0,1
11,0.9906352885730242,0.9854838709677419,-0.00515141760528226,0.99079754601227,0.9877300613496932,326,555,186,1,2
123,1.0,0.9947234906139015,-0.005276509386098471,1.0,0.9933554817275747,301,555,186,0,2
30,0.9895893811525762,0.9842679615705932,-0.005321419581983067,0.9902597402597403,0.987012987012987,308,555,186,1,2
111,0.9908140663708003,0.9854403346251173,-0.005373731745683008,0.9934640522875817,0.9901960784313726,306,555,186,0,1
84,0.9843880643812708,0.9789726535019243,-0.005415410879346494,0.990228013029316,0.9869706840390879,307,555,186,0,1
105,0.9722722930055159,0.9667888589560469,-0.005483434049468938,0.9801324503311258,0.9768211920529801,302,555,186,2,3
161,0.982113512757809,0.9765128968253969,-0.005600615932412123,0.9863945578231292,0.9829931972789115,294,555,186,1,2
27,0.9972897359678266,0.991650213144486,-0.00563952282334057,0.9967741935483871,0.9935483870967742,310,555,186,0,1
76,0.9883919843597263,0.9824289599616879,-0.005963024398038419,0.9930555555555556,0.9861111111111112,288,555,186,1,3
182,0.9798508147747056,0.973841690424283,-0.006009124350422557,0.9833333333333333,0.9766666666666667,300,555,186,0,2
94,0.9864387025403974,0.9804107657048834,-0.006027936835514058,0.98989898989899,0.9865319865319865,297,555,186,0,1
31,0.9820411416029623,0.9758283225594979,-0.006212819043464379,0.9838187702265372,0.9805825242718447,309,555,186,1,2
144,0.976740064563975,0.970518472440093,-0.006221592123881958,0.9840764331210191,0.9777070063694268,314,555,186,2,4
54,0.987943984654511,0.9816898558057172,-0.0062541288487938385,0.9900332225913622,0.9867109634551495,301,555,186,1,2
135,0.9847026855249624,0.9780920404691557,-0.006610645055806774,0.9867109634551495,0.9833887043189369,301,555,186,1,2
78,0.9864469941828481,0.9798122777262305,-0.0066347164566176176,0.9865771812080537,0.9832214765100671,298,555,186,1,2
97,0.9781253489544194,0.9713751424772037,-0.006750206477215692,0.9833887043189369,0.9767441860465116,301,555,186,3,5
22,0.9923122933119526,0.9855378461734192,-0.006774447138533368,0.9933554817275747,0.9867109634551495,301,555,186,0,2
10,0.9887510110006218,0.9818194450063056,-0.006931565994316213,0.9901960784313726,0.9869281045751634,306,555,186,1,2
18,0.9945782504431238,0.9872997324866979,-0.007278517956425867,0.9967213114754099,0.9901639344262295,305,555,186,0,2
53,0.9890765765765765,0.9816218466695863,-0.007454729906990254,0.9932659932659933,0.9865319865319865,297,555,186,0,2
140,0.9838352007469655,0.9761669396900714,-0.00766826105689411,0.9864864864864865,0.9797297297297297,296,555,186,0,2
180,0.9803886217948719,0.9726691099210617,-0.007719511873810148,0.9838187702265372,0.9773462783171522,309,555,186,0,2
62,0.9726048599288036,0.96477261864068,-0.007832241288123654,0.9810126582278481,0.9778481012658228,316,555,186,1,2
71,0.9974063083855369,0.9894352224457859,-0.007971085939751044,0.9968652037617555,0.9905956112852664,319,555,186,0,2
92,0.9907674943291968,0.9827063513635952,-0.008061142965601564,0.9937304075235109,0.987460815047022,319,555,186,1,3
172,0.9849766505512831,0.9767483894058697,-0.008228261145413418,0.9863013698630136,0.9828767123287672,292,555,186,2,3
168,0.981982396688279,0.9734197669865422,-0.008562629701736824,0.9896907216494846,0.9862542955326461,291,555,186,1,2
51,0.986264796171205,0.9776358650116687,-0.008628931159536335,0.99,0.9833333333333333,300,555,186,1,3
120,0.9749915353021035,0.9662207518220176,-0.008770783480085864,0.9813084112149533,0.9750778816199377,321,555,186,0,2
155,0.9782651928521306,0.9693262230040895,-0.0089389698480411,0.987012987012987,0.9805194805194806,308,555,186,0,2
56,0.9746455179043498,0.9656640448592504,-0.008981473045099442,0.9797297297297297,0.9763513513513513,296,555,186,1,2
32,0.9972024198358375,0.9880759983452927,-0.009126421490544767,0.9965635738831615,0.9896907216494846,291,555,186,0,2
2,0.9803612833596473,0.9709645218863694,-0.009396761473277948,0.9831649831649831,0.9764309764309764,297,555,186,0,2
137,0.9667737776153347,0.9573354164752015,-0.009438361140133189,0.9730639730639731,0.9663299663299664,297,555,186,1,3
109,0.9816987756046915,0.972244763433288,-0.009454012171403514,0.9871794871794872,0.9807692307692307,312,555,186,0,2
194,0.9865714782688952,0.9768444495545248,-0.009727028714370478,0.9902597402597403,0.9837662337662337,308,555,186,0,2
73,0.990165086055497,0.9803204962522616,-0.009844589803235437,0.9931972789115646,0.9829931972789115,294,555,186,1,4
79,0.9901776115418932,0.9800232275543173,-0.010154383987575955,0.9932432432432432,0.9864864864864865,296,555,186,0,2
142,0.9814734874011108,0.9712301587976528,-0.010243328603458002,0.9868421052631579,0.9769736842105263,304,555,186,1,4
122,0.9737367584052216,0.9634333180731136,-0.01030344033210795,0.979381443298969,0.9725085910652921,291,555,186,2,4
162,0.9948354430379747,0.984506329113924,-0.01032911392405067,0.9966996699669967,0.9900990099009901,303,555,186,0,2
148,0.9942454492072813,0.9838262020465411,-0.010419247160740164,0.9968354430379747,0.990506329113924,316,555,186,0,2
9,0.9793555937509999,0.968932237243849,-0.010423356507150872,0.9829931972789115,0.9727891156462585,294,555,186,1,4
46,0.9764267313937134,0.9658239721235724,-0.010602759270140982,0.9829351535836177,0.9761092150170648,293,555,186,1,3
193,0.9866243875827485,0.9759422614274258,-0.010682126155322713,0.9897260273972602,0.9828767123287672,292,555,186,1,3
29,0.9802969968475195,0.9695344870672405,-0.010762509780278928,0.9861111111111112,0.9791666666666666,288,555,186,1,3
150,1.0,0.989010989010989,-0.01098901098901095,1.0,0.9934640522875817,306,555,186,0,2
174,1.0,0.9889846288403165,-0.01101537115968354,1.0,0.9934426229508196,305,555,186,0,2
1,0.9851734709617234,0.973856925333675,-0.011316545628048402,0.9898648648648649,0.9831081081081081,296,555,186,0,2
189,0.9906146179401993,0.9791371569734975,-0.01147746096670188,0.9933333333333333,0.9833333333333333,300,555,186,0,3
141,0.9804758539758126,0.9688256094312909,-0.011650244544521682,0.9866666666666667,0.9766666666666667,300,555,186,0,3
34,0.9933554169296295,0.9816527895813127,-0.01170262734831673,0.9933554817275747,0.9833887043189369,301,555,186,1,4
156,0.9914715719063545,0.9796833601181427,-0.011788211788211767,0.9935064935064936,0.987012987012987,308,555,186,0,2
28,0.98819802882662,0.9763465447154471,-0.011851484111172872,0.99,0.98,300,555,186,0,3
26,0.9699179251276187,0.9578126170920339,-0.012105308035584739,0.9801324503311258,0.9701986754966887,302,555,186,1,4
39,0.9952014561098701,0.9828890407837777,-0.012312415326092396,0.9967948717948718,0.9871794871794872,312,555,186,0,3
57,0.9814723023710887,0.9690387893380441,-0.01243351303304463,0.987220447284345,0.9776357827476039,313,555,186,1,4
188,0.9899737506309945,0.9774816176470589,-0.012492132983935589,0.9931972789115646,0.9863945578231292,294,555,186,0,2
35,0.9877790541668825,0.9750716051454249,-0.012707449021457595,0.99,0.9833333333333333,300,555,186,1,3
198,0.9809807887102664,0.9681363771113468,-0.01284441159891958,0.9832775919732442,0.9732441471571907,299,555,186,0,3
166,0.9900341046863514,0.9769423558897243,-0.013091748796627112,0.993421052631579,0.9868421052631579,304,555,186,1,3
187,0.9871175523349436,0.9736263736263736,-0.013491178708569973,0.9932885906040269,0.9865771812080537,298,555,186,0,2
33,0.9844782628498554,0.9706278655740903,-0.013850397275765092,0.9867549668874173,0.9768211920529801,302,555,186,1,4
88,0.9838290660136135,0.9687336741384328,-0.01509539187518072,0.9876160990712074,0.9752321981424149,323,555,186,0,4
43,0.988001634879488,0.9728651460584234,-0.015136488821064553,0.9901315789473685,0.9835526315789473,304,555,186,1,3
21,0.9906360228645102,0.9748860507990224,-0.015749972065487894,0.9931740614334471,0.9829351535836177,293,555,186,1,4
171,0.9754945976180222,0.9589531188680068,-0.016541478750015326,0.9842271293375394,0.9747634069400631,317,555,186,0,3
