image_size,orientations,pixels_per_cell,cells_per_block,preprocessing,feature_dim,accuracy,macro_precision,macro_recall,macro_f1,seconds
96x96,6,4x4,2x2,gray_clahe_blur,12696,0.9705882352941176,0.9557970831412131,0.9626047711154094,0.959124957917181,17.07005786895752
96x96,6,4x4,3x3,gray,26136,0.9901960784313726,0.9866831070710278,0.9830754352030948,0.9848087895680282,14.158611297607422
96x96,6,4x4,3x3,gray_clahe,26136,0.9803921568627451,0.9758354514240577,0.9737266279819472,0.9747056706234687,19.637415885925293
96x96,6,4x4,3x3,gray_clahe_blur,26136,0.9803921568627451,0.9733662141420556,0.9699387491940683,0.9715840337340897,20.080777168273926
96x96,6,8x8,1x1,gray,864,0.9869281045751634,0.9873698714023269,0.9696969696969697,0.9774320199602315,20.062290906906128
96x96,6,8x8,1x1,gray_clahe,864,0.9771241830065359,0.9738713016763507,0.9681656995486783,0.9706673421642282,23.343213081359863
96x96,6,8x8,1x1,gray_clahe_blur,864,0.9738562091503268,0.9636904761904762,0.9547872340425532,0.9585237713116089,22.040164470672607
96x96,6,8x8,2x2,gray,2904,0.9836601307189542,0.9735054347826086,0.9737266279819472,0.9734279609279609,3.6607539653778076
96x96,6,8x8,2x2,gray_clahe,2904,0.9803921568627451,0.9687766410912191,0.9777562862669246,0.9731316535601563,7.30075478553772
96x96,6,8x8,2x2,gray_clahe_blur,2904,0.9738562091503268,0.9568689967811848,0.9605899419729207,0.958662854558377,6.553788185119629
96x96,6,8x8,3x3,gray,5400,0.9836601307189542,0.972411272035927,0.9795293359123146,0.9758921557625406,3.88153076171875
96x96,6,8x8,3x3,gray_clahe,5400,0.9771241830065359,0.9621410673431591,0.9759832366215345,0.9687860945211102,6.621288537979126
96x96,6,8x8,3x3,gray_clahe_blur,5400,0.9901960784313726,0.9866831070710278,0.9830754352030948,0.9848087895680282,6.630064487457275
96x96,6,16x16,1x1,gray,216,0.9607843137254902,0.9546418193678468,0.928030303030303,0.9398199594621026,1.917670726776123
96x96,6,16x16,1x1,gray_clahe,216,0.934640522875817,0.9249378255333699,0.9019987105093488,0.912386627750296,2.924759864807129
96x96,6,16x16,1x1,gray_clahe_blur,216,0.954248366013072,0.9555611753551672,0.926257253384913,0.9395899958286986,2.883631944656372
96x96,6,16x16,2x2,gray,600,0.9771241830065359,0.9801174013581815,0.9585751128304321,0.9676559807868935,5.267195463180542
96x96,6,16x16,2x2,gray_clahe,600,0.9575163398692811,0.9521517678242062,0.9416505480335268,0.9465581339645219,5.99971342086792
96x96,6,16x16,2x2,gray_clahe_blur,600,0.9640522875816994,0.9541193997234109,0.9472114764667956,0.9505309183033424,5.418240308761597
96x96,6,16x16,3x3,gray,864,0.9803921568627451,0.9838487446417636,0.9661508704061896,0.9738984510556379,7.7367894649505615
96x96,6,16x16,3x3,gray_clahe,864,0.9738562091503268,0.9698711411884675,0.9605899419729207,0.9645713730748381,8.474740028381348
96x96,6,16x16,3x3,gray_clahe_blur,864,0.9705882352941176,0.9660364145658263,0.9568020631850419,0.9607849584478894,8.084388017654419
96x96,9,4x4,1x1,gray,5184,0.9738562091503268,0.9636254370629371,0.9565602836879433,0.9600138115835353,10.605365514755249
96x96,9,4x4,1x1,gray_clahe,5184,0.9738562091503268,0.9704812187116667,0.9663926499032882,0.9679884453781513,15.560518980026245
96x96,9,4x4,1x1,gray_clahe_blur,5184,0.9673202614379085,0.9475487469484875,0.9588168923275306,0.9529500538189243,17.226810693740845
96x96,9,4x4,2x2,gray,19044,0.9869281045751634,0.9793314272791884,0.9813023855577048,0.9802997464544572,13.671757936477661
96x96,9,4x4,2x2,gray_clahe,19044,0.9771241830065359,0.9695217998498802,0.9661508704061896,0.9677676746545727,19.034937381744385
96x96,9,4x4,2x2,gray_clahe_blur,19044,0.9640522875816994,0.943192367747593,0.9550290135396519,0.9486160007041015,18.6913583278656
96x96,9,4x4,3x3,gray,39204,0.9869281045751634,0.9793314272791884,0.9813023855577048,0.9802997464544572,11.465056419372559
96x96,9,4x4,3x3,gray_clahe,39204,0.9836601307189542,0.9775710422741226,0.9775145067698259,0.9775142893630195,11.8960120677948
96x96,9,4x4,3x3,gray_clahe_blur,39204,0.9771241830065359,0.9661140072285818,0.9641360412637009,0.965050543653854,12.450387001037598
96x96,9,8x8,1x1,gray,1296,0.9771241830065359,0.967172544962217,0.9603481624758221,0.9635112548658882,2.5705294609069824
96x96,9,8x8,1x1,gray_clahe,1296,0.9803921568627451,0.9819611470860314,0.9699387491940683,0.9752898795451987,3.808749198913574
96x96,9,8x8,1x1,gray_clahe_blur,1296,0.9705882352941176,0.9559047952982035,0.9509993552546745,0.9531179978911296,3.1923530101776123
96x96,9,8x8,2x2,gray,4356,0.9836601307189542,0.9752363445378152,0.9737266279819472,0.9743688483397412,2.9761412143707275
96x96,9,8x8,2x2,gray_clahe,4356,0.9803921568627451,0.972167325428195,0.9777562862669246,0.9748126425545781,3.6608188152313232
96x96,9,8x8,2x2,gray_clahe_blur,4356,0.9836601307189542,0.9792802043678621,0.9737266279819472,0.976150405298537,3.403839588165283
96x96,9,8x8,3x3,gray,8100,0.9803921568627451,0.9658856339420908,0.9777562862669246,0.9715811904841166,3.3290998935699463
96x96,9,8x8,3x3,gray_clahe,8100,0.9803921568627451,0.972167325428195,0.9777562862669246,0.9748126425545781,3.883805990219116
96x96,9,8x8,3x3,gray_clahe_blur,8100,0.9934640522875817,0.9945080933361361,0.9848484848484849,0.9894244085257313,3.9289352893829346
96x96,9,16x16,1x1,gray,324,0.9738562091503268,0.9751169236228208,0.9509993552546745,0.9604501138698587,1.8821942806243896
96x96,9,16x16,1x1,gray_clahe,324,0.9379084967320261,0.9098945690090923,0.917150225660864,0.9125219109095462,2.426997661590576
96x96,9,16x16,1x1,gray_clahe_blur,324,0.9477124183006536,0.9412589019784023,0.9113475177304965,0.9232450240478786,3.433474063873291
96x96,9,16x16,2x2,gray,900,0.9836601307189542,0.9853945887793839,0.9679239200515797,0.9756097485317878,14.181840181350708
96x96,9,16x16,2x2,gray_clahe,900,0.9771241830065359,0.9738713016763507,0.9681656995486783,0.9706673421642282,12.38671326637268
96x96,9,16x16,2x2,gray_clahe_blur,900,0.9803921568627451,0.9715598739495799,0.9699387491940683,0.9706375050561592,13.890659809112549
